Name	Set	Card	Type	Level	Logo	Rarity	Text	PT-BR
Waterdeep	1st-Ed	001	Realm		FR	Realm	Any champion can use wizard spells when defending Waterdeep. Coast. 	Qualquer campeao pode usar feiticos de mago ao defender aguas Profundas. Costa.
Menzoberranzan	1st-Ed	002	Realm		FR	Realm	Can be played at any time. Immune to flyers. Underdark. 	Pode ser jogado em qualquer momento. Imune a Voadors. Subterraneo.
Zhentil Keep	1st-Ed	003	Realm	5	FR	R	Zhentil Keep can defend itself as a level 5 cleric. Coast. 	Forte Zhentil pode se defender como um clerigo de nivel 5. Costa.
Shadowdale	1st-Ed	004	Realm		FR	Realm	Any champion can cast cleric and wizard spells when defending Shadowdale. 	Qualquer campeao pode lancar clerigo e mago feiticos ao defender Sombras.
Cormyr	1st-Ed	005	Realm		FR	Realm	Coast. 	Costa.
Sembia	1st-Ed	006	Realm		FR	Realm	Coast. 	Costa.
Moonshae Isles	1st-Ed	007	Realm	2	FR	Realm	The Moonshaes can defend themselves as a level 2 hero. All defending allies gain 3 levels. Coast. 	Os Moonshaes podem defender-se como um heroi nivel 2. Todos os aliados que defendem ganhar 3 niveis. Costa.
Thay	1st-Ed	008	Realm		FR	Realm	Any champion can use wizard spells when defending Thay. 	Qualquer campeao pode usar feiticos de mago ao defender Thay.
Calimshan	1st-Ed	009	Realm		FR	Realm	Coast. 	Costa.
Pirate Isles	1st-Ed	010	Realm		FR	Realm	Flyers cannot attack this realm. Coast. 	Voadors nao pode atacar este reino. Costa.
Ravens Bluff	1st-Ed	011	Realm		FR	Realm	Any champion can use wizard spells when defending Ravens Bluff. Coast. 	Qualquer campeao pode usar feiticos de mago ao defender Ravens Bluff. Costa.
Great Rift, The	1st-Ed	012	Realm		FR	Realm	Flyers cannot attack this realm. 	Voadors nao pode atacar este reino.
Myth Drannor	1st-Ed	013	Realm		FR	UC	Any champion can use wizard spells when defending Myth Drannor. Increases player's maximum hand by one. 	Qualquer campeao pode usar feiticos de mago ao defender Myth Drannor. Aumenta a mao maxima do jogador por um.
Vaasa	1st-Ed	014	Realm		FR	Realm	Coast. 	Costa.
Jungles of Chult	1st-Ed	015	Realm	5	FR	Realm	Chult can defend itself as a level 5 monster. Coast. 	Chult pode se defender como um monstro de nivel 5. Costa.
High Forest, The	1st-Ed	016	Realm		FR	Realm		
Sword Coast	1st-Ed	017	Realm		FR	Realm	The defending player can return one ally to his hand after each round of battle. Coast. 	O jogador defensor pode retornar um aliado para sua mao depois de cada rodada de batalha. Costa.
Anauroch	1st-Ed	018	Realm		FR	Realm	All attackers lose one level. 	Todos os atacantes perdem um nivel.
Impiltur	1st-Ed	019	Realm		FR	Realm	All champions and allies who defend Impiltur gain 1 level. Coast. 	Todos os campeoes e aliados que defendem Impiltur nivel de ganho 1. Costa.
Icewind Dale	1st-Ed	020	Realm		FR	Realm	The attacking champion must discard one magical item chosen by the defender. Coast. 	O campeao atacando deve descartar um item magico escolhido pelo defensor. Costa.
High Moor, The	1st-Ed	021	Realm		FR	Realm	Any defending monster gains 4 levels. Coast. 	Qualquer monstro defendendo ganha 4 niveis. Costa.
