Name	Set	Card	Type	Level	Logo	Rarity	Text	PT-BR
Waterdeep	1st-Ed	001	Realm		FR	Realm	Any champion can use wizard spells when defending Waterdeep. Coast. 	Qualquer campeao pode usar feitiços de mago ao defender aguas Profundas. Costa.
Menzoberranzan	1st-Ed	002	Realm		FR	Realm	Can be played at any time. Immune to flyers. Underdark. 	Pode ser jogado em qualquer momento. Imune a Voadors. Subterraneo.
Zhentil Keep	1st-Ed	003	Realm	5	FR	R	Zhentil Keep can defend itself as a level 5 cleric. Coast. 	Forte Zhentil pode se defender como um clerigo de nivel 5. Costa.
Shadowdale	1st-Ed	004	Realm		FR	Realm	Any champion can cast cleric and wizard spells when defending Shadowdale. 	Qualquer campeao pode lançar clerigo e mago feitiços ao defender Sombras.
Cormyr	1st-Ed	005	Realm		FR	Realm	Coast. 	Costa.
Sembia	1st-Ed	006	Realm		FR	Realm	Coast. 	Costa.
Moonshae Isles	1st-Ed	007	Realm	2	FR	Realm	The Moonshaes can defend themselves as a level 2 hero. All defending allies gain 3 levels. Coast. 	Os Moonshaes podem defender-se como um heroi nivel 2. Todos os aliados que defendem ganhar 3 niveis. Costa.
Thay	1st-Ed	008	Realm		FR	Realm	Any champion can use wizard spells when defending Thay. 	Qualquer campeao pode usar feitiços de mago ao defender Thay.
Calimshan	1st-Ed	009	Realm		FR	Realm	Coast. 	Costa.
Pirate Isles	1st-Ed	010	Realm		FR	Realm	Flyers cannot attack this realm. Coast. 	Voadors nao pode atacar este reino. Costa.
Ravens Bluff	1st-Ed	011	Realm		FR	Realm	Any champion can use wizard spells when defending Ravens Bluff. Coast. 	Qualquer campeao pode usar feitiços de mago ao defender Ravens Bluff. Costa.
Great Rift, The	1st-Ed	012	Realm		FR	Realm	Flyers cannot attack this realm. 	Voadors nao pode atacar este reino.
Myth Drannor	1st-Ed	013	Realm		FR	UC	Any champion can use wizard spells when defending Myth Drannor. Increases player's maximum hand by one. 	Qualquer campeao pode usar feitiços de mago ao defender Myth Drannor. Aumenta a mao maxima do jogador por um.
Vaasa	1st-Ed	014	Realm		FR	Realm	Coast. 	Costa.
Jungles of Chult	1st-Ed	015	Realm	5	FR	Realm	Chult can defend itself as a level 5 monster. Coast. 	Chult pode se defender como um monstro de nivel 5. Costa.
High Forest, The	1st-Ed	016	Realm		FR	Realm		
Sword Coast	1st-Ed	017	Realm		FR	Realm	The defending player can return one ally to his hand after each round of battle. Coast. 	O jogador defensor pode retornar um aliado para sua mao depois de cada rodada de batalha. Costa.
Anauroch	1st-Ed	018	Realm		FR	Realm	All attackers lose one level. 	Todos os atacantes perdem um nivel.
Impiltur	1st-Ed	019	Realm		FR	Realm	All champions and allies who defend Impiltur gain 1 level. Coast. 	Todos os campeoes e aliados que defendem Impiltur nivel de ganho 1. Costa.
Icewind Dale	1st-Ed	020	Realm		FR	Realm	The attacking champion must discard one magical item chosen by the defender. Coast. 	O campeao atacando deve descartar um item magico escolhido pelo defensor. Costa.
High Moor, The	1st-Ed	021	Realm		FR	Realm	Any defending monster gains 4 levels. Coast. 	Qualquer monstro defendendo ganha 4 niveis. Costa.
Rashemen	1st-Ed	022	Realm		FR	Realm	Coast. 	Costa.
Damara	1st-Ed	023	Realm		FR	Realm	Double the level of a defending Forgotten Realms champion. 	O dobro do nivel de um campeao Forgotten Realms defender.
Narfell	1st-Ed	024	Realm		FR	Realm	Coast. 	Costa.
Dragonspear Castle	1st-Ed	025	Realm		FR	Realm	All allies of a defending monster gain 2 levels. 	Todos os aliados de um monstro defendendo ganhar 2 niveis.
Daggerdale	1st-Ed	026	Realm		FR	Realm	Allies cannot be used when attacking this realm. 	Aliados nao podem ser usados ao atacar este reino.
Darkhold	1st-Ed	027	Realm		FR	Realm	All defenders of Darkhold gain 2 levels if Zhentil Keep is in play anywhere. 	Todos os defensores da Darkhold ganhar 2 niveis se Forte Zhentil esta em jogo em qualquer lugar.
Haunted Hall of Eveningstar	1st-Ed	028	Realm		FR	R	Draw one card and place it in your hand when this realm is played or rebuilt. Coast. 	Desenhe um cartao e coloca-lo em sua mao quando este reino e jogado ou reconstruidas. Costa.
Evermeet	1st-Ed	029	Realm		FR	Realm	Any champion can use wiizard spells when defending Evermeet. Flyers cannot attack. 	Qualquer campeao pode usar feitiços de mago ao defender Evermeet. Voadors nao pode atacar.
Trollmoors, The	1st-Ed	030	Realm		FR	Realm		
Berdusk	1st-Ed	031	Holding		FR	UC	A wizard or cleric gains 3 levels when defending the attached realm. 	Um mago ou ganhos clero 3 niveis quando defender o reino unido.
Tantras	1st-Ed	032	Holding		FR	UC	No spells can be cast when attacking or defending Tantras. 	Nenhuma magica pode ser lançado quando atacar ou defender Tantras.
Mulmaster	1st-Ed	033	Holding		FR	UC	Draw another card every time a spell card is played. 	Desenhar um outro cartao cada vez que um card de magica e jogado.
Hillsfar	1st-Ed	034	Holding		FR	UC	Any champion gains 3 levels when defending the attached realm. 	Qualquer campeao ganha 3 niveis ao defender o reino unido.
Suzail	1st-Ed	035	Holding		FR	UC	Any champion can cast wizard spells when defending the attached realm. If attached to Cormyr, all defenders also gain 4 levels. 	Qualquer campeao pode lançar magias mago ao defender o reino unido. Se ligado a Cormyr, todos os defensores tambem ganha 4 niveis.
Arabel	1st-Ed	036	Holding	4	FR	UC	The attached realm can defend itself as a level 4 monster. 	O reino unido pode se defender como um monstro de nivel 4.
Fortifications	1st-Ed	037	Holding		FR	UC	Each defender of the attached realm gains 2 levels. 	Cada defensor do reino unido ganha 2 niveis.
Fortifications	1st-Ed	038	Holding		FR	UC	Each defender of the attached realm gains 3 levels. 	Cada defensor do reino unido ganha 3 niveis.
Selune	1st-Ed	039	Holding		FR	UC	Undead cannot attack the attached realm. 	-Morto nao podem atacar no reino unido.
Peasant Militia	1st-Ed	040	Holding		FR	UC	Each champion and ally attacking the attached realm loses 1 level. 	Cada campeao e aliado atacar o reino unido perde 1 nivel.
Alias the Sell-Sword	1st-Ed	041	Hero	6	FR	UC	Immune to offensive spells. 	Imune a magias ofensivas.
King Azoun IV	1st-Ed	042	Hero	7	FR	R	All allies of King Azoun IV gain 1 level. 	Todos os aliados do Rei Azoun IV ganha 1 nivel.
Maligor the Red	1st-Ed	043	Wizard	3	FR	R	Once per battle Maligor can shift one opposing ally to his own side. 	Uma vez por batalha Maligor pode mudar uma oposiçao aliado para seu proprio lado.
Elminster the Mage	1st-Ed	044	Wizard	9	FR	UC	Immune to offensive spells. 	Imune a magias ofensivas.
